                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2015


NAME: Hill Head Sailing Club, Fareham, UK                  
ELEV: 7 meters    LAT: 50-49.35 N    LONG: 001-14.47 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    3.7    7.3  12:05    0.1  23:59   14.7    0.0    0.0    5.3   14.8  05:53    309
 02    1.5    7.8  12:39   -1.8  04:02   16.8    0.0    0.8    2.1    6.3  12:56    307
 03    1.4    4.2  14:48   -0.6  01:02   16.9    0.0    0.4    2.2    9.4  15:55    354
 04    2.5    7.5  13:38   -0.4  05:24   15.9    0.0    0.2    3.0    9.8  14:27    345
 05    2.3    4.8  13:13    0.9  02:59   16.0    0.0    0.0    3.2    9.8  12:53    355
 06    2.5    5.9  13:43   -0.3  03:17   15.8    0.0    0.0    4.7   15.6  12:44     27
 07    3.7    7.3  12:12    0.2  06:06   14.6    0.0    0.0    3.5   15.2  10:26     24
 08    5.0   12.2  14:32    0.8  07:10   13.3    0.0    0.0    1.6    6.7  11:58    321
 09    3.6    9.9  16:19    0.4  03:50   14.7    0.0    0.0    1.6    5.4  04:09    306
 10    4.2    6.6  12:15    0.0  02:37   14.2    0.0    0.0    3.2    8.9  11:33     76
 11    5.4    5.8  01:28    4.7  23:35   12.9    0.0    0.0    2.6    9.8  03:25    115
 12    4.6    6.3  23:49    3.9  07:39   13.7    0.0    0.0    2.7    9.8  21:46    105
 13    7.2    8.4  14:52    6.1  23:08   11.2    0.0    8.4    8.5   17.9  11:41    165
 14    6.0    8.9  12:27    3.9  05:52   12.3    0.0    2.4    2.1    8.0  11:43     28
 15    6.6   11.3  13:14    3.3  23:54   11.7    0.0    0.0    1.5    6.7  10:10     13
 16    5.7    7.3  10:49    2.8  00:35   12.6    0.0    3.0    3.4    9.8  17:53    173
 17    5.8   12.1  15:19    0.8  07:06   12.5    0.0    1.6    2.4    8.5  00:02    307
 18    5.3   12.1  11:37   -0.5  05:39   13.1    0.0    0.0    3.0    8.5  19:05    226
 19    7.1    8.1  10:48    6.2  00:00   11.2    0.0    2.6    8.0   15.6  10:29    204
 20    5.7    7.3  00:07    3.3  21:55   12.6    0.0    4.4    2.4    9.4  00:00    272
 21    5.4   11.7  13:56    0.7  23:46   13.0    0.0    2.6    3.8   11.6  15:52    291
 22    4.7    8.8  20:37    0.2  05:37   13.7    0.0    3.6    7.5   20.6  18:54    200
 23    6.1    8.4  10:57    5.0  09:22   12.2    0.0    0.4    9.4   19.2  13:31    237
 24    7.5   11.8  13:59    5.3  06:07   10.9    0.0    0.2    7.6   17.4  01:19    263
 25    8.5   14.9  13:59    6.7  07:06    9.8    0.0    0.6    3.8   10.3  00:01    236
 26    7.4    9.4  13:54    3.0  23:53   11.0    0.0    2.0    5.7   15.2  13:53    248
 27    6.5   13.9  12:04    1.2  06:59   11.8    0.0    0.0    4.7   10.3  13:16    241
 28    8.1    9.6  21:42    6.3  04:34   10.2    0.0    0.6    9.5   17.4  21:54    198
---------------------------------------------------------------------------------------
       5.2   14.9     25   -1.8     02  369.1    0.0   33.8    4.3   20.6     22    243
    

