                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2015


NAME: Hill Head Sailing Club, Fareham, UK                  
ELEV: 7 meters    LAT: 50-49.35 N    LONG: 001-14.47 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    8.0   11.1  11:02    4.8  22:56   10.3    0.0    1.0    8.1   21.0  17:10    237
 02    6.3   10.6  13:04    4.2  01:50   12.1    0.0    0.4    7.1   19.7  10:59    256
 03    6.7   10.4  13:20    3.4  01:05   11.7    0.0    4.2    6.2   16.1  05:21    251
 04    7.3   13.8  12:15    2.8  23:54   11.0    0.0    0.0    4.8   11.2  00:24    277
 05    6.1   12.6  09:57    0.2  05:18   12.2    0.0    0.0    3.5    9.4  13:44    232
 06    7.5   11.8  13:45    4.5  05:22   10.8    0.0    0.0    3.3    8.5  10:22    193
 07    9.2   12.4  12:17    7.8  21:08    9.1    0.0    0.0    6.6   12.1  10:20    213
 08    8.2    9.9  10:53    5.2  23:39   10.1    0.0    0.0    5.0   11.6  05:42    233
 09    7.4    9.1  18:25    4.3  00:47   10.9    0.0    0.0    5.3   11.6  19:42    188
 10    7.8   14.0  13:53    4.2  07:14   10.5    0.0    0.0    2.0    6.7  09:26    315
 11    7.4    8.7  21:49    5.6  00:01   10.9    0.0    0.0    5.4   12.1  05:45    104
 12    8.9    9.9  20:13    8.1  03:51    9.4    0.0    0.0    6.0   15.2  13:26    100
 13    8.3   11.1  15:03    3.6  23:24   10.1    0.0    0.0    3.5   10.3  13:19     71
 14    5.0    8.1  14:09    1.3  06:12   13.3    0.0    0.0    3.0   11.2  01:03     12
 15    5.8    7.6  10:05    4.6  00:00   12.5    0.0    0.0    3.1   10.7  10:00     28
 16    6.0    7.0  14:42    4.9  04:02   12.4    0.0    0.4    3.6    9.4  10:41     74
 17    8.1   14.1  13:13    3.9  06:34   10.3    0.0    0.0    1.9    5.4  16:36      8
 18    7.6   13.8  14:58    2.9  06:05   10.7    0.0    0.0    2.1    8.9  18:59     12
 19    7.2   10.9  12:10    4.8  00:28   11.1    0.0    0.0    2.9    9.8  11:31      5
 20    6.9   12.9  14:53    4.7  23:56   11.5    0.0    0.0    2.3    6.7  02:49    335
 21    7.2   11.1  09:13    3.9  00:43   11.1    0.0    0.0    3.2   11.2  14:48      1
 22    6.5    9.2  12:10    4.3  05:14   11.8    0.0    0.0    3.6    9.8  14:45     88
 23    7.4   11.6  14:09    4.9  02:11   10.9    0.0    0.0    3.7    9.4  16:59    242
 24    6.7   14.1  12:11    2.4  23:59   11.6    0.0    1.4    2.3    9.4  12:16    321
 25    6.4   13.8  13:10    0.1  05:59   11.9    0.0    0.2    3.8    8.9  20:08    233
 26    9.7   16.4  13:10    5.9  05:56    8.6    0.0    1.6    6.6   13.9  14:47    248
 27    8.6   15.6  09:42    3.8  06:14    9.7    0.0    0.0    4.1    8.5  11:39    229
 28    9.2   10.1  13:59    8.1  00:00    9.2    0.0    0.0    9.5   19.2  13:59    223
 29   10.0   16.1  10:10    6.4  05:45    8.4    0.0    0.0   10.8   21.5  10:27    238
 30   10.6   16.1  10:01    6.4  05:40    7.8    0.0    0.0   10.7   23.2  02:15    262
 31   10.2   15.8  11:09    5.2  05:50    8.1    0.0    0.0    9.9   23.2  02:13    267
---------------------------------------------------------------------------------------
       8.1   16.4     26    0.1     25  330.0    0.0    9.2    5.8   23.2     31    245
    

