                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2015


NAME: Hill Head Sailing Club, Fareham, UK                  
ELEV: 7 meters    LAT: 50-49.35 N    LONG: 001-14.47 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    9.7   11.6  17:16    7.7  04:05    8.6    0.0    0.6    7.0   13.4  08:50     94
 02   12.3   13.7  15:03   11.1  00:36    6.1    0.0    0.6    9.9   16.1  19:16    203
 03   12.5   17.8  09:39   10.6  04:37    5.8    0.0    4.8    6.2   16.1  23:48    176
 04   12.8   14.1  04:36   11.4  22:19    5.6    0.0    0.4   13.6   23.7  14:30    209
 05   11.5   12.9  10:36    9.2  05:25    6.9    0.0    1.2   14.3   24.6  10:39    220
 06   11.9   14.4  11:46    9.8  04:20    6.5    0.0    0.0    6.6   13.0  00:06    231
 07   11.6   13.6  17:35    9.4  03:13    6.7    0.0    0.0    5.2   14.8  22:43    140
 08   12.6   15.3  11:55   11.2  03:08    5.7    0.0    0.0   10.1   17.0  01:01    228
 09   12.6   14.8  11:47   10.7  05:12    5.7    0.0    0.0    5.0    9.4  03:03    177
 10   12.9   15.8  11:13   11.7  22:53    5.4    0.0    0.0    5.0    9.4  07:41    221
 11   12.3   17.9  10:01    8.7  22:59    6.0    0.0    0.0    6.5   15.6  14:05    236
 12   10.8   14.2  15:17    4.4  04:15    7.5    0.0    0.0    2.8    7.2  11:40    131
 13   10.5   12.2  23:18    8.9  22:49    7.8    0.0    9.4    5.1   17.4  11:08    101
 14   11.2   14.8  10:57    8.0  03:58    7.1    0.0    0.0    4.7   11.6  17:35    244
 15   15.5   21.6  12:26    9.6  22:59    2.8    0.0    0.0    5.9   11.6  01:36    273
 16   12.1   18.6  08:16    6.9  04:40    6.3    0.0    0.0    5.0   12.1  18:12    236
 17   12.1   15.8  15:08    9.7  22:14    6.2    0.0    0.2    9.7   21.0  08:49    235
 18   11.0   14.9  09:48    7.7  22:58    7.3    0.0    0.8    8.5   17.9  10:41    254
 19   12.5   18.6  08:45    5.4  04:29    5.8    0.0    0.0    4.4   11.2  12:54    295
 20   12.1   17.1  10:49    5.7  04:36    6.2    0.0    0.0    4.7   12.5  17:01    237
 21   12.4   16.4  16:23    9.2  01:08    5.9    0.0    0.8    4.1    8.0  08:58    241
 22   15.6   21.6  11:26   12.1  21:36    2.7    0.0    0.0    3.1    9.8  17:17    101
 23   13.9   18.4  10:31   11.7  04:21    4.4    0.0    0.0    4.6   10.3  13:38    214
 24   14.0   21.3  10:25    9.4  04:26    4.3    0.0    0.0    3.0    9.8  12:15    259
 25   14.4   20.7  14:15    8.6  04:06    3.9    0.0    0.0    2.0    8.0  11:57    324
 26   13.2   19.4  11:34    7.1  03:38    5.1    0.0    0.0    4.2   12.1  18:38    234
 27   14.2   18.8  08:46   10.7  22:59    4.1    0.0    0.0    6.8   14.3  15:21    256
 28   12.0   15.3  15:30    9.8  22:47    6.3    0.0    5.4    7.3   18.8  10:45    254
 29   12.4   16.6  08:44    7.8  03:45    5.9    0.0    0.0    5.8   11.6  15:30    234
 30   12.9   14.7  15:17    9.8  22:29    5.5    0.0    1.2    8.7   17.0  04:45    233
 31   11.8   14.7  08:30    9.4  00:09    6.5    0.0    0.6    9.2   20.6  22:00    219
---------------------------------------------------------------------------------------
      12.5   21.6     16    4.4     13  180.8    0.0   26.0    6.4   24.6     06    227
    

