                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2015


NAME: Hill Head Sailing Club, Fareham, UK                  
ELEV: 7 meters    LAT: 50-49.35 N    LONG: 001-14.47 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   13.5   15.4  15:09   11.7  23:00    4.8    0.0    1.0   14.7   23.7  03:46    224
 02   14.5   19.8  09:54   11.7  04:37    3.8    0.0    0.0    7.1   13.9  23:00    242
 03   13.0   17.6  19:12    7.1  04:16    5.3    0.0    0.0    4.0   10.3  12:56    125
 04   15.2   16.9  23:29   10.9  22:57    3.1    0.0    1.2    6.0   13.9  13:10    219
 05   13.5   16.6  07:39   10.2  22:47    4.8    0.0    0.0    7.9   15.2  13:51    236
 06   14.7   21.4  14:01    7.3  04:22    3.6    0.0    0.0    2.2    8.0  17:44    335
 07   13.8   19.1  10:09    8.3  04:00    4.5    0.0    0.0    3.0    9.4  13:02     53
 08   11.8   15.3  16:19    6.4  04:20    6.5    0.0    0.0    4.0   13.0  14:27     29
 09   13.2   18.3  16:20    6.2  04:17    5.1    0.0    0.0    4.8   13.9  11:15     54
 10   18.0   23.7  13:59   12.2  03:45    0.3    0.0    0.0    5.8   14.3  13:46     76
 11   17.2   21.6  15:22   14.3  22:45    1.1    0.0    5.8    3.0   13.4  22:27    253
 12   15.0   17.2  14:09   13.6  06:06    3.3    0.0    0.2    9.5   15.2  01:29    230
 13   15.8   21.2  13:58   12.3  22:58    2.6    0.0    0.0    2.5    8.5  09:24    311
 14   13.7   18.3  15:13   11.5  00:17    4.6    0.0    0.0    2.7    8.0  08:13    115
 15   15.9   22.2  10:53   12.8  03:36    2.4    0.0    0.0    4.0    9.8  19:14    213
 16   15.6   19.3  12:18   12.2  02:16    2.7    0.0    0.0    6.6   13.0  15:27    234
 17   18.8   24.7  13:45   14.4  22:59    0.0    0.4    0.4    3.7    8.9  10:40    281
 18   17.3   25.2  10:23   10.3  04:15    1.0    0.0    0.0    3.6    9.8  11:48    263
 19   15.8   18.8  11:33   12.4  02:23    2.5    0.0    0.0    4.3   12.1  15:29    235
 20   16.2   20.1  10:20   13.3  04:58    2.1    0.0    0.0    6.4   14.3  14:56    258
 21   14.5   18.9  15:56   12.2  05:24    3.8    0.0   10.8    4.5   10.7  14:40    281
 22   16.0   22.8  13:27    9.8  04:14    2.4    0.0    0.0    4.1    9.8  13:45    252
 23   17.3   21.8  10:06   14.1  02:08    1.0    0.0    0.0    4.5    8.5  13:32    234
 24   16.8   22.6  13:37   10.5  04:10    1.5    0.0    0.0    2.7    7.2  14:21    237
 25   16.9   21.4  09:59   13.3  05:18    1.4    0.0    0.0    5.0   12.5  15:04    230
 26   17.2   25.9  09:30   12.2  04:19    1.1    0.0    0.0    6.1   13.4  15:14    239
 27   16.7   22.0  09:18   14.9  04:38    1.6    0.0    0.0    5.1   10.7  16:33    225
 28   18.2   23.7  11:16   13.0  04:22    0.1    0.0    0.0    3.0    8.9  12:27    251
 29   19.0   25.8  17:29   11.1  04:18    0.0    0.7    0.0    5.4   15.2  21:51    101
 30   21.5   25.2  23:12   16.7  21:48    0.0    3.1    0.0    6.3   15.6  00:03    123
---------------------------------------------------------------------------------------
      15.9   25.9     27    6.2     10   77.3    4.3   19.4    5.1   23.7     02    233
    

