                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2015


NAME: Hill Head Sailing Club, Fareham, UK                  
ELEV: 7 meters    LAT: 50-49.35 N    LONG: 001-14.47 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   17.8   21.1  17:50   14.7  22:59    0.5    0.0    0.6    3.0   10.3  15:11    236
 02   17.9   25.2  17:44   10.8  04:20    0.5    0.0    0.0    4.2   10.7  17:18    101
 03   19.3   21.8  13:26   16.1  22:55    0.0    1.0    0.0    6.3   12.5  05:50    227
 04   16.9   20.4  11:24   13.2  04:01    1.4    0.0    0.0    5.5   13.0  17:52    233
 05   17.4   20.7  11:44   14.8  03:37    0.9    0.0    0.0    5.4    9.8  09:54    205
 06   17.6   19.6  11:30   15.7  22:31    0.7    0.0    0.0    9.6   17.4  15:25    223
 07   17.4   21.7  14:55   14.0  22:54    1.0    0.0    0.0    8.6   17.4  03:31    265
 08   17.1   25.3  11:18   10.4  05:04    1.2    0.0    0.0    4.0   10.3  15:30    243
 09   16.4   19.4  19:11   11.1  04:26    2.0    0.0    0.0    4.5    9.4  11:05    120
 10   18.1   23.9  07:37   13.1  04:14    0.2    0.0    0.0    6.4   16.1  15:07    241
 11   16.9   17.6  12:10   16.0  23:51    1.4    0.0    0.0    9.5   16.1  12:17    231
 12   17.1   17.7  13:45   16.3  04:29    1.2    0.0    0.0    9.6   17.9  12:22    229
 13   17.7   20.7  13:53   15.8  04:49    0.6    0.0    0.4    7.1   13.9  16:10    233
 14   19.5   24.1  13:03   16.8  04:26    0.0    1.1    0.0    3.9   11.2  00:40    247
 15   18.2   24.1  18:15   14.4  02:39    0.1    0.0    6.0    4.5   11.6  10:17     95
 16   18.2   20.5  12:11   15.7  22:47    0.2    0.0    0.2    8.3   13.4  17:56    229
 17   17.2   25.5  08:49   13.2  03:51    1.1    0.0    0.0    4.7    8.9  12:45    244
 18   17.7   20.6  13:08   14.8  01:08    0.6    0.0    0.2    5.9   12.5  14:55    224
 19   17.5   18.6  15:17   16.1  22:53    0.9    0.0    0.2    7.1   14.8  19:12    218
 20   18.0   20.8  12:31   15.4  03:58    0.3    0.0    0.0    7.7   13.9  17:03    232
 21   17.5   21.1  11:59   14.0  22:50    0.8    0.0    0.4    6.6   14.3  12:52    236
 22   16.5   20.1  12:47   11.8  04:49    1.8    0.0    0.0    4.2    9.8  15:16    243
 23   14.1   15.9  07:11   12.4  22:50    4.3    0.0   22.4    2.7   11.6  14:54     41
 24   16.5   22.9  11:26   10.5  03:02    1.8    0.0    2.4    5.5   13.0  16:46    276
 25   15.1   17.7  16:17   12.3  01:43    3.3    0.0    0.0    8.8   17.9  09:50    201
 26   16.9   19.3  12:38   15.4  22:47    1.4    0.0    0.2   10.8   17.4  13:59    244
 27   15.9   18.3  12:56   13.2  21:46    2.4    0.0    0.0    8.7   17.0  13:39    248
 28   15.4   21.9  09:46   11.4  04:35    3.0    0.0    0.8    5.0   10.3  01:39    278
 29   16.1   22.8  12:55    8.6  04:44    2.2    0.0    0.2    2.8   11.6  12:32    299
 30   14.7   21.3  15:18    7.2  04:48    3.7    0.0    0.0    3.3    7.2  11:07    193
 31   15.1   19.8  10:46    8.2  04:44    3.2    0.0    0.0    4.8   11.6  15:41    238
---------------------------------------------------------------------------------------
      17.0   25.5     18    7.2     31   42.7    2.1   34.0    6.1   17.9     13    234
    

