                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2015


NAME: Hill Head Sailing Club, Fareham, UK                  
ELEV: 7 meters    LAT: 50-49.35 N    LONG: 001-14.47 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   15.3   22.3  09:28    9.4  05:35    3.0    0.0    0.0    2.3   10.7  00:57    286
 02   14.5   21.9  11:22    9.8  05:35    3.9    0.0    0.0    2.3    7.2  09:18    296
 03   14.7   20.6  11:24   11.7  05:02    3.6    0.0    0.0    2.1    7.2  10:36    301
 04   13.5   18.5  12:58    9.4  22:58    4.8    0.0    0.0    1.9    8.5  13:08    334
 05   14.2   24.3  12:09    6.0  05:17    4.1    0.0    0.0    3.1    8.9  15:48    262
 06   15.0   21.9  12:55    8.3  05:30    3.4    0.0    0.0    1.7    6.7  17:02     23
 07   13.5   17.6  11:18    8.2  05:33    4.9    0.0    0.0    2.9    6.7  13:11     90
 08   14.9   18.7  16:32   10.6  01:48    3.4    0.0    0.0    4.7   13.9  16:03     82
 09   16.1   20.4  12:23   11.7  05:34    2.2    0.0    0.0    4.5   12.1  12:37     86
 10   16.3   18.3  12:07   13.4  05:07    2.0    0.0    0.0    6.7   13.0  20:50     90
 11   16.7   19.0  11:22   14.5  20:51    1.7    0.0    0.0    7.9   22.8  11:06    217
 12   14.5   16.1  11:35   12.6  06:17    3.9    0.0    1.8    5.1   17.4  09:19    106
 13   14.8   17.1  09:46   12.1  20:05    3.6    0.0   11.0    9.6   23.7  15:51    220
 14   14.5   18.6  14:00   12.1  04:51    3.9    0.0    1.4    4.3   21.0  04:18    226
 15   12.9   14.8  09:31   11.5  22:47    5.5    0.0    6.0    0.7   12.5  00:03     31
 16   15.0   22.7  10:58    9.7  06:00    3.3    0.0    1.0    0.0    4.9  23:18    315
 17   15.7   23.1  12:09   12.1  22:59    2.6    0.0    2.8    0.0    0.0  23:00     90
 18   13.8   21.2  14:53    8.6  05:14    4.5    0.0    0.0    0.0    0.0  23:00     90
 19   14.1   21.8  11:08    7.8  06:01    4.2    0.0    0.2    0.0    0.0  23:00     90
 20   14.3   15.6  15:37   12.1  22:26    4.1    0.0    1.4    0.0    0.0  23:00     90
 21   12.9   15.6  10:50    9.9  22:57    5.4    0.0    9.8    0.0    0.0  23:00     90
 22   13.5   19.7  11:00    8.6  05:48    4.8    0.0    0.0    0.0    0.0  23:00     90
 23   15.2   18.7  11:57   11.9  22:58    3.1    0.0    2.4    0.0    0.0  23:00     90
 24   14.7   22.3  10:04    8.9  22:57    3.6    0.0    0.0    0.0    0.0  23:00     90
 25   12.5   17.9  12:34    6.0  05:58    5.8    0.0    0.0    0.0    0.0  23:00     90
 26   13.2   18.6  15:31    7.4  03:56    5.1    0.0    0.0    0.0    0.0  23:00     90
 27   13.9   17.7  16:42    9.9  03:24    4.4    0.0    0.0    0.0    0.0  23:00     90
 28   14.2   19.1  14:29    9.8  05:55    4.1    0.0    0.0    0.0    0.0  23:00     90
 29   13.9   18.3  14:41   10.4  05:03    4.4    0.0    0.0    0.0    0.0  23:00     90
 30   13.7   18.1  14:33    9.4  04:03    4.7    0.0    0.0    0.0    0.0  23:00     90
---------------------------------------------------------------------------------------
      14.4   24.3     06    6.0     06  118.0    0.0   37.8    2.0   23.7     14    172
    

