                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2015


NAME: Hill Head Sailing Club, Fareham, UK                  
ELEV: 7 meters    LAT: 50-49.35 N    LONG: 001-14.47 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.5   14.0  14:38   11.2  19:46    5.8    0.0    0.0    2.1    4.9  19:35     95
 02   11.1   13.1  16:22    8.7  08:37    7.3    0.0    0.0    2.7    9.8  19:33    100
 03   11.7   12.1  00:10  -39.6  15:26    6.7    0.0    0.2    4.1    9.8  15:25    100
 04    N/A  -39.4  15:50  -39.6  01:03    0.0    0.0    6.2    3.1    7.2  14:05    192
 05    N/A  -39.6  15:58  -39.6  15:58    0.0    0.0    3.6    7.4   16.5  17:24    199
 06    N/A   14.1  23:38  -39.6  14:20    0.0    0.0    2.0    7.8   17.0  11:27    225
 07    N/A   14.1  01:29  -39.6  17:08    0.0    0.0    0.6    9.1   23.7  12:02    223
 08    N/A  -39.6  06:05  -39.6  06:05    0.0    0.0    0.0    6.7   17.0  18:32    208
 09    N/A  -39.6  01:47  -39.6  01:47    0.0    0.0    0.0   11.5   20.1  18:01    250
 10    N/A  -39.6  00:46  -39.6  00:46    0.0    0.0    0.2   10.5   16.1  08:10    247
 11   13.7   13.9  20:30   13.6  19:21    4.7    0.0    0.0    8.2   14.8  13:37    242
 12   13.8   14.6  14:37   12.7  05:10    4.5    0.0    0.8    7.0   20.6  23:36    217
 13   11.1   13.1  08:35    9.6  20:07    7.3    0.0    2.6    9.1   23.2  08:53    265
 14   11.7   13.7  22:21    9.8  01:28    6.6    0.0    4.8   10.6   21.5  18:06    250
 15   13.7   14.0  07:55   13.1  18:29    4.7    0.0    0.0   12.1   19.7  07:19    244
 16   13.2   14.9  11:25   12.1  07:46    5.2    0.0    6.0    8.8   18.8  02:42    239
 17   13.8   14.7  13:33   12.7  06:34    4.6    0.0    0.8   12.2   24.1  14:00    249
 18   13.3   14.6  10:04   11.8  06:23    5.1    0.0    0.0   11.6   21.5  13:06    249
 19   11.7   13.2  00:56   10.2  20:00    6.7    0.0    3.2    6.8   17.0  01:07    263
 20    8.3   10.3  00:00    5.0  23:44   10.0    0.0    2.2    5.6   13.4  23:56    281
 21    4.0    7.8  11:55    0.7  23:37   14.3    0.0    0.2    6.2   20.1  10:02    322
 22    3.8   10.3  12:52   -0.1  03:02   14.5    0.0    0.0    1.8    6.7  16:27    346
 23    5.4   11.4  11:28    0.1  07:09   12.9    0.0    0.2    3.0   11.6  21:49    259
 24    9.4   11.3  06:57    8.3  21:26    9.0    0.0    1.6    6.9   16.1  05:06    260
 25    9.6   13.4  12:44    8.3  04:23    8.7    0.0    0.8    4.7   11.6  15:03    309
 26   10.1   12.3  12:26    7.9  07:10    8.3    0.0    1.2    2.3    6.7  00:51    294
 27   10.8   12.0  10:05    6.5  23:56    7.6    0.0    0.8    7.3   21.5  18:39    252
 28    8.6   10.9  17:24    4.8  06:20    9.8    0.0    0.4   10.3   22.8  16:49    255
 29   11.6   12.6  11:51   10.3  03:54    6.7    0.0    0.0   12.1   22.8  12:47    251
 30   12.0   12.7  14:24   10.4  00:48    6.4    0.0    0.2   11.7   21.5  14:37    249
---------------------------------------------------------------------------------------
      10.4   14.9     16  -39.6     03  177.0    0.0   38.6    7.5   24.1     17    248
    

