                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2015


NAME: Hill Head Sailing Club, Fareham, UK                  
ELEV: 7 meters    LAT: 50-49.35 N    LONG: 001-14.47 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   12.4   13.0  11:51   12.0  23:59    6.0    0.0    0.0    8.0   13.0  00:46    244
 02   12.4   13.1  23:30   11.5  08:09    5.9    0.0    0.0    8.1   15.6  12:31    220
 03   12.5   13.3  23:07   11.5  23:58    5.8    0.0    1.0    9.5   20.1  22:24    200
 04   10.9   13.9  12:11    6.9  05:32    7.5    0.0    0.0    9.4   18.3  20:27    248
 05   12.1   12.7  16:29   11.6  06:06    6.3    0.0    0.0   14.2   22.8  14:39    226
 06   12.6   13.8  09:46   12.1  13:27    5.8    0.0    0.0   10.5   20.6  07:25    227
 07   12.5   13.2  11:38   11.8  17:27    5.8    0.0    0.0    6.8   13.9  22:20    166
 08   11.6   13.5  10:58    8.1  23:51    6.7    0.0    1.6    9.1   18.3  15:35    228
 09   10.4   13.7  12:12    6.3  08:22    8.0    0.0    0.0    7.2   17.0  21:16    230
 10   11.5   12.2  13:05   10.7  23:47    6.9    0.0    6.6   10.3   18.3  01:18    226
 11   10.2   11.8  12:07    7.9  23:50    8.1    0.0    0.2    6.0   13.0  07:54    260
 12   10.8   12.5  11:55    7.3  03:38    7.5    0.0    0.4    9.1   20.6  16:23    233
 13   11.6   14.3  10:24   10.3  18:57    6.8    0.0    0.0    5.1   13.0  00:00    218
 14   10.3   11.0  11:54    9.5  03:27    8.1    0.0    1.4    5.8   11.2  15:38    145
 15   11.8   13.5  23:26   10.8  00:58    6.5    0.0    3.2    6.0   14.8  23:01    165
 16   13.0   13.6  00:14   12.4  07:22    5.3    0.0    0.0    8.1   17.4  04:19    233
 17    N/A   12.9  15:43  -39.6  01:16    0.0    0.0    1.2    7.6   15.6  07:09    212
 18    N/A  -39.6  00:09  -39.6  00:09    0.0    0.0    0.0    6.2   13.0  22:24    210
 19    N/A  -39.6  02:59  -39.6  02:59    0.0    0.0    0.0    9.8   15.6  03:00    188
 20   12.1   14.0  02:44    9.8  22:43    6.3    0.0    1.0    9.0   17.4  14:22    224
 21   11.0   12.7  15:40    8.8  04:12    7.3    0.0    1.8    9.7   23.7  14:12    235
 22  -39.6  -39.6  01:38  -39.6  01:38   57.9    0.0    1.4   13.4   23.2  20:07    223
 23   11.8   13.8  11:31    9.8  07:23    6.6    0.0    0.0    9.8   21.0  03:32    228
 24   10.6   12.8  08:45    8.6  22:08    7.7    0.0    1.2   10.1   21.0  10:37    226
 25   11.9   13.8  18:51    8.7  01:26    6.5    0.0    1.2   10.3   23.2  18:43    213
 26   13.4   14.2  12:26   12.8  16:52    4.9    0.0    0.0   11.6   19.2  07:26    211
 27   13.0   13.6  06:20   11.7  23:57    5.4    0.0    0.0    9.0   18.3  06:27    210
 28   11.9   12.9  19:58   11.1  05:51    6.4    0.0    0.2    8.8   16.5  19:12    138
 29   11.5   13.4  13:44    9.2  09:20    6.9    0.0    1.4    7.7   17.4  08:06    197
 30   11.9   13.1  03:47    9.6  23:25    6.5    0.0    2.6   12.7   22.4  10:23    182
 31    9.5   12.1  12:43    5.9  23:57    8.9    0.0    1.8   10.9   28.6  16:16    234
---------------------------------------------------------------------------------------
      11.6   14.3     13  -39.6     17  238.1    0.0   28.2    9.0   28.6     31    216
    

