                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2016


NAME: Hill Head Sailing Club, Fareham, UK                  
ELEV: 7 meters    LAT: 50-49.35 N    LONG: 001-14.47 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (m/s)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01    7.9   10.6  23:31    3.7  04:47   10.4    0.0    1.6    9.6   20.6  17:57    126
 02   10.7   11.4  03:40    9.0  23:55    7.6    0.0    1.6   10.9   19.2  08:06    189
 03    9.2   10.6  15:01    7.4  03:23    9.1    0.0    5.4    7.4   21.5  12:17    198
 04    9.5   10.8  12:05    8.5  22:55    8.8    0.0    3.8    7.6   16.5  04:12    230
 05    8.8   11.6  15:05    6.9  20:25    9.5    0.0    5.4    3.0   10.3  01:03    216
 06    7.7    9.8  22:29    5.7  05:06   10.7    0.0    1.6    3.3   15.2  23:56    198
 07    7.8   10.3  14:00    6.1  21:05   10.5    0.0    3.4   10.1   21.9  11:07    242
 08    8.5    9.8  22:48    6.5  03:11    9.8    0.0    5.4    5.5   12.5  11:23    208
 09    9.7   11.1  18:57    7.1  22:51    8.6    0.0    4.8    9.1   21.9  19:25    190
 10    8.0   10.4  13:54    5.9  05:28   10.3    0.0    7.6    7.7   24.1  04:38    234
 11    7.1   10.3  13:16    5.7  09:24   11.2    0.0    4.2    5.9   17.4  02:59    247
 12    6.6    8.9  11:38    5.0  06:56   11.7    0.0    0.0    9.4   17.4  18:00    280
 13    6.7   11.9  11:36    3.1  07:23   11.6    0.0    2.8    6.3   16.1  19:15    253
 14    5.0    9.1  12:14    2.8  22:19   13.3    0.0    0.6    6.5   13.9  13:13    291
 15    4.3    9.1  11:40    1.4  08:00   14.0    0.0    0.0    5.3   13.4  12:18    308
 16    3.2    8.1  12:40   -0.6  07:03   15.2    0.0    0.2    2.1    5.4  00:49    315
 17    4.7    7.4  19:55    2.2  08:58   13.6    0.0    1.2    5.8   13.0  23:56    111
 18    4.7    6.9  00:05    0.1  23:31   13.7    0.0    0.0    7.6   14.3  09:50    131
 19    0.4    4.6  14:32   -2.0  07:55   18.0    0.0    0.0    2.7    5.4  10:48     40
 20    2.6    6.7  13:49   -2.2  01:59   15.7    0.0    0.0    4.0    8.9  13:53     82
 21    7.5    8.7  12:09    5.2  00:11   10.8    0.0    0.0    6.5   11.6  20:30    149
 22    8.3   10.4  12:16    7.7  03:15   10.0    0.0    3.4    6.3   13.4  11:38    196
 23    N/A    N/A    N/A    N/A    N/A    0.0    0.0    2.2    3.8   11.2  23:56    190
 24    N/A    N/A    N/A    N/A    N/A    0.0    0.0    0.0    4.9   12.1  01:03    217
 25    N/A    N/A    N/A    N/A    N/A    0.0    0.0    0.0    6.3   14.8  15:16    197
 26    N/A    N/A    N/A    N/A    N/A    0.0    0.0    1.2   11.7   22.8  18:08    222
 27    N/A    N/A    N/A    N/A    N/A    0.0    0.0    4.4   12.0   23.2  08:40    235
 28    N/A    N/A    N/A    N/A    N/A    0.0    0.0    0.0    7.5   18.8  22:06    242
 29    N/A    N/A    N/A    N/A    N/A    0.0    0.0    0.0   14.1   21.9  21:18    235
 30    N/A    N/A    N/A    N/A    N/A    0.0    0.0    3.4    8.3   22.4  00:19    261
 31    N/A    N/A    N/A    N/A    N/A    0.0    0.0    0.2    7.5   15.6  10:37    243
---------------------------------------------------------------------------------------
       6.7   11.9     13   -2.2     20  254.4    0.0   64.4    7.0   24.1     10    222
    

